coin_parse,coin_time,coin_value,update_time
BNB,2017-11-13,1.686619997,2022-03-26
BNB,2017-11-14,1.5925799608,2022-03-26
BNB,2017-11-15,1.5304499865,2022-03-26
BNB,2017-11-16,1.57791996,2022-03-26
BNB,2017-11-17,1.5103600025,2022-03-26
BNB,2017-11-18,1.6743299961,2022-03-26
BNB,2017-11-19,1.6137700081,2022-03-26
BNB,2017-11-20,1.6244499683,2022-03-26
BNB,2017-11-21,1.5740599632,2022-03-26
BNB,2017-11-22,1.6117500067,2022-03-26
BNB,2017-11-23,1.548699975,2022-03-26
BNB,2017-11-24,1.7177100182,2022-03-26
BNB,2017-11-25,1.8738700151,2022-03-26
BNB,2017-11-26,1.8531299829,2022-03-26
BNB,2017-11-27,1.942980051,2022-03-26
BNB,2017-11-28,1.9171099663,2022-03-26
BNB,2017-11-29,1.7515300512,2022-03-26
BNB,2017-11-30,1.9969700575,2022-03-26
BNB,2017-12-01,2.0702300072,2022-03-26
BNB,2017-12-02,2.0841600895,2022-03-26
BNB,2017-12-03,2.2272500992,2022-03-26
BNB,2017-12-04,2.4916799068,2022-03-26
BNB,2017-12-05,2.5952999592,2022-03-26
BNB,2017-12-06,2.587690115,2022-03-26
BNB,2017-12-07,2.7799499035,2022-03-26
BNB,2017-12-08,2.8306701183,2022-03-26
BNB,2017-12-09,2.6104300022,2022-03-26
BNB,2017-12-10,2.4833700657,2022-03-26
BNB,2017-12-11,2.7066500187,2022-03-26
BNB,2017-12-12,2.6847500801,2022-03-26
BNB,2017-12-13,2.7781000137,2022-03-26
BNB,2017-12-14,3.1587400436,2022-03-26
BNB,2017-12-15,3.9961500168,2022-03-26
BNB,2017-12-16,4.6646499634,2022-03-26
BNB,2017-12-17,5.7567200661,2022-03-26
BNB,2017-12-18,5.6158499718,2022-03-26
BNB,2017-12-19,5.7923297882,2022-03-26
BNB,2017-12-20,5.1762099266,2022-03-26
BNB,2017-12-21,5.1800098419,2022-03-26
BNB,2017-12-22,4.3361501694,2022-03-26
BNB,2017-12-23,4.8392601013,2022-03-26
BNB,2017-12-24,5.2856798172,2022-03-26
BNB,2017-12-25,6.5600099564,2022-03-26
BNB,2017-12-26,9.029419899,2022-03-26
BNB,2017-12-27,10.107000351,2022-03-26
BNB,2017-12-28,9.3214101791,2022-03-26
BNB,2017-12-29,8.8076000214,2022-03-26
BNB,2017-12-30,7.8410100937,2022-03-26
BNB,2017-12-31,8.6355800629,2022-03-26
BNB,2018-01-01,8.4146099091,2022-03-26
BNB,2018-01-02,8.837770462,2022-03-26
BNB,2018-01-03,9.5358800888,2022-03-26
BNB,2018-01-04,9.2139902115,2022-03-26
BNB,2018-01-05,14.9172000885,2022-03-26
BNB,2018-01-06,22.7597999573,2022-03-26
BNB,2018-01-07,18.6567993164,2022-03-26
BNB,2018-01-08,18.2609004974,2022-03-26
BNB,2018-01-09,17.4118003845,2022-03-26
BNB,2018-01-10,17.3908004761,2022-03-26
BNB,2018-01-11,21.0426998138,2022-03-26
BNB,2018-01-12,22.3162994385,2022-03-26
BNB,2018-01-13,22.1744003296,2022-03-26
BNB,2018-01-14,20.777299881,2022-03-26
BNB,2018-01-15,19.564699173,2022-03-26
BNB,2018-01-16,13.8919000626,2022-03-26
BNB,2018-01-17,14.2032003403,2022-03-26
BNB,2018-01-18,14.2804002762,2022-03-26
BNB,2018-01-19,14.9406003952,2022-03-26
BNB,2018-01-20,16.1902999878,2022-03-26
BNB,2018-01-21,14.0683002472,2022-03-26
BNB,2018-01-22,13.0145998001,2022-03-26
BNB,2018-01-23,13.0935001373,2022-03-26
BNB,2018-01-24,13.6287002563,2022-03-26
BNB,2018-01-25,13.2284002304,2022-03-26
BNB,2018-01-26,13.2181997299,2022-03-26
BNB,2018-01-27,13.2530002594,2022-03-26
BNB,2018-01-28,13.5402002335,2022-03-26
BNB,2018-01-29,12.7644996643,2022-03-26
BNB,2018-01-30,11.2506999969,2022-03-26
BNB,2018-01-31,11.1450004578,2022-03-26
BNB,2018-02-01,9.5158395767,2022-03-26
BNB,2018-02-02,9.6522903442,2022-03-26
BNB,2018-02-03,9.7496795654,2022-03-26
BNB,2018-02-04,8.4586400986,2022-03-26
BNB,2018-02-05,6.7050299644,2022-03-26
BNB,2018-02-06,8.2888498306,2022-03-26
BNB,2018-02-07,8.0950098038,2022-03-26
BNB,2018-02-08,8.5954999924,2022-03-26
BNB,2018-02-09,9.7304601669,2022-03-26
BNB,2018-02-10,9.2559700012,2022-03-26
BNB,2018-02-11,8.7049102783,2022-03-26
BNB,2018-02-12,9.3224697113,2022-03-26
BNB,2018-02-13,8.9867801666,2022-03-26
BNB,2018-02-14,10.4006004333,2022-03-26
BNB,2018-02-15,10.9310998917,2022-03-26
BNB,2018-02-16,11.2016000748,2022-03-26
BNB,2018-02-17,11.6892995834,2022-03-26
BNB,2018-02-18,10.7024002075,2022-03-26
BNB,2018-02-19,11.0756998062,2022-03-26
BNB,2018-02-20,9.9045095444,2022-03-26
BNB,2018-02-21,9.3807897568,2022-03-26
BNB,2018-02-22,8.9040298462,2022-03-26
BNB,2018-02-23,9.6921100616,2022-03-26
BNB,2018-02-24,9.1419095993,2022-03-26
BNB,2018-02-25,9.3465995789,2022-03-26
BNB,2018-02-26,9.9023199081,2022-03-26
BNB,2018-02-27,10.6598997116,2022-03-26
BNB,2018-02-28,10.4381999969,2022-03-26
BNB,2018-03-01,10.5096998215,2022-03-26
BNB,2018-03-02,10.2248001099,2022-03-26
BNB,2018-03-03,10.2179002762,2022-03-26
BNB,2018-03-04,10.3480997086,2022-03-26
BNB,2018-03-05,10.1105003357,2022-03-26
BNB,2018-03-06,9.3843803406,2022-03-26
BNB,2018-03-07,9.0348796844,2022-03-26
BNB,2018-03-08,8.3104400635,2022-03-26
BNB,2018-03-09,8.3130702972,2022-03-26
BNB,2018-03-10,7.6716599464,2022-03-26
BNB,2018-03-11,8.2723798752,2022-03-26
BNB,2018-03-12,8.039270401,2022-03-26
BNB,2018-03-13,10.1152000427,2022-03-26
BNB,2018-03-14,8.9592103958,2022-03-26
BNB,2018-03-15,9.0990800858,2022-03-26
BNB,2018-03-16,9.1113195419,2022-03-26
BNB,2018-03-17,8.987739563,2022-03-26
BNB,2018-03-18,8.9518499374,2022-03-26
BNB,2018-03-19,8.9927396774,2022-03-26
BNB,2018-03-20,9.1609296799,2022-03-26
BNB,2018-03-21,9.982000351,2022-03-26
BNB,2018-03-22,10.0663003922,2022-03-26
BNB,2018-03-23,11.7376003265,2022-03-26
BNB,2018-03-24,13.089099884,2022-03-26
BNB,2018-03-25,12.7831001282,2022-03-26
BNB,2018-03-26,12.0614004135,2022-03-26
BNB,2018-03-27,11.5082998276,2022-03-26
BNB,2018-03-28,11.6403999329,2022-03-26
BNB,2018-03-29,10.196100235,2022-03-26
BNB,2018-03-30,10.350399971,2022-03-26
BNB,2018-03-31,11.0558996201,2022-03-26
BNB,2018-04-01,11.0662002563,2022-03-26
BNB,2018-04-02,12.6206998825,2022-03-26
BNB,2018-04-03,13.3606996536,2022-03-26
BNB,2018-04-04,12.1904001236,2022-03-26
BNB,2018-04-05,12.4535999298,2022-03-26
BNB,2018-04-06,12.2583999634,2022-03-26
BNB,2018-04-07,12.4556999207,2022-03-26
BNB,2018-04-08,12.117600441,2022-03-26
BNB,2018-04-09,11.8683004379,2022-03-26
BNB,2018-04-10,12.0361995697,2022-03-26
BNB,2018-04-11,12.2308998108,2022-03-26
BNB,2018-04-12,12.9525003433,2022-03-26
BNB,2018-04-13,13.5368003845,2022-03-26
BNB,2018-04-14,13.2444000244,2022-03-26
BNB,2018-04-15,13.0587997437,2022-03-26
BNB,2018-04-16,12.2100000381,2022-03-26
BNB,2018-04-17,11.7693996429,2022-03-26
BNB,2018-04-18,12.2756996155,2022-03-26
BNB,2018-04-19,12.3526000977,2022-03-26
BNB,2018-04-20,12.5752000809,2022-03-26
BNB,2018-04-21,13.3783998489,2022-03-26
BNB,2018-04-22,12.8759002686,2022-03-26
BNB,2018-04-23,13.6253004074,2022-03-26
BNB,2018-04-24,15.265999794,2022-03-26
BNB,2018-04-25,13.2909002304,2022-03-26
BNB,2018-04-26,14.6535997391,2022-03-26
BNB,2018-04-27,14.3290996552,2022-03-26
BNB,2018-04-28,15.2000999451,2022-03-26
BNB,2018-04-29,15.0562000275,2022-03-26
BNB,2018-04-30,14.3121004105,2022-03-26
BNB,2018-05-01,14.1642999649,2022-03-26
BNB,2018-05-02,14.4091997147,2022-03-26
BNB,2018-05-03,14.6526002884,2022-03-26
BNB,2018-05-04,14.3295001984,2022-03-26
BNB,2018-05-05,14.3687000275,2022-03-26
BNB,2018-05-06,13.9426002502,2022-03-26
BNB,2018-05-07,13.7025003433,2022-03-26
BNB,2018-05-08,13.5290002823,2022-03-26
BNB,2018-05-09,14.660200119,2022-03-26
BNB,2018-05-10,13.818400383,2022-03-26
BNB,2018-05-11,12.9939002991,2022-03-26
BNB,2018-05-12,12.9439001083,2022-03-26
BNB,2018-05-13,13.1187000275,2022-03-26
BNB,2018-05-14,12.8706998825,2022-03-26
BNB,2018-05-15,12.5677995682,2022-03-26
BNB,2018-05-16,12.2604999542,2022-03-26
BNB,2018-05-17,12.4650001526,2022-03-26
BNB,2018-05-18,15.1353998184,2022-03-26
BNB,2018-05-19,14.2456998825,2022-03-26
BNB,2018-05-20,14.1177997589,2022-03-26
BNB,2018-05-21,14.7222995758,2022-03-26
BNB,2018-05-22,13.9254999161,2022-03-26
BNB,2018-05-23,12.6261997223,2022-03-26
BNB,2018-05-24,13.0003004074,2022-03-26
BNB,2018-05-25,13.0080003738,2022-03-26
BNB,2018-05-26,12.7590999603,2022-03-26
BNB,2018-05-27,12.605799675,2022-03-26
BNB,2018-05-28,11.8943004608,2022-03-26
BNB,2018-05-29,12.5717000961,2022-03-26
BNB,2018-05-30,12.5708999634,2022-03-26
BNB,2018-05-31,14.190199852,2022-03-26
BNB,2018-06-01,14.2407999039,2022-03-26
BNB,2018-06-02,14.6796998978,2022-03-26
BNB,2018-06-03,14.5659999847,2022-03-26
BNB,2018-06-04,14.2610998154,2022-03-26
BNB,2018-06-05,15.5993003845,2022-03-26
BNB,2018-06-06,17.2474994659,2022-03-26
BNB,2018-06-07,16.2630996704,2022-03-26
BNB,2018-06-08,16.2737998962,2022-03-26
BNB,2018-06-09,15.9631996155,2022-03-26
BNB,2018-06-10,14.1842002869,2022-03-26
BNB,2018-06-11,15.3835000992,2022-03-26
BNB,2018-06-12,15.2262001038,2022-03-26
BNB,2018-06-13,14.589099884,2022-03-26
BNB,2018-06-14,14.8952999115,2022-03-26
